11,Genetics,"This course focuses on fundamental principles of human genetics, genetic mechanisms that underlie individual variation and that are responsible for disease, and genetic technologies used in diagnosis, treatment, and research.  It builds on the basic principles of molecular and cellular biology that you learned in earlier sections of this course.  The material taught in the Genetics section is directly relevant to a wide variety of medical specialties.  This section uses a combination of lecture, readings, and daily small group discussion sessions.","At the end of the course students will have a foundational understanding of: (1) fundamental principles governing the inheritance, arrangement, mutability, and population dynamics of genes, (2) core genetic technologies and their relevance to medicine, and (3) the role of genetics in the most common diseases and the resulting implications for prevention, diagnosis, and treatment.  
Students will also begin to: (1) acquire the basic knowledge and skills that will allow them to learn more specialized and advanced scientific information when needed later in their medical careers, (2) understand the importance of basic science information to clinical medicine.
 
In addition, in discussion groups, students will develop their communication and teamwork skills, as well as their abilities to learn in small group settings. All of these are critical skills for later work in the clinics.",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
12,Pharmacology,"1. List the basic approaches to drug discovery
2. Define basic elements of pharmacokinetics
3.   State major mechanisms of drug metabolism
4. Highlight specific approaches to molecular imaging
5. Describe major forms of receptor-ligand interactions
6. Discuss ethical issues for physician-pharmaceutical company interactions
7. Understand the special challenges of clinical research
8. Discuss the challenges of complementary and alternative medicine in patient care","Course Learning Objectives:
1. List the basic approaches to drug discovery
2. Define basic elements of pharmacokinetics
3.   State major mechanisms of drug metabolism
4. Highlight specific approaches to molecular imaging
5. Describe major forms of receptor-ligand interactions
6. Discuss ethical issues for physician-pharmaceutical company interactions
7. Understand the special challenges of clinical research
8. Discuss the challenges of complementary and alternative medicine in patient care",Medicine,2015-2016,3,1/11/16,5/27/16,Complete
13,Histology and Pathobiology,The Foundations of Histology and Pathobiology section of SFM is designed to provide the foundations to understand organ histology and histopathology. This course begins with basic concepts of tissue organization and ends with globally relevant histopathologic changes seen in disease. This course is designed to provide the background material necessary for the disease oriented sections to come. This course is primarily designed around the virtual microscopy system within small groups and occasional lectures.  Students teach some of the materials to their colleagues through short presentations.  ,"Course Learning Objectives:
At the end of the course students will have a foundational understanding of:
- The main cell types within the human body
- Different types of epithelial cells
- The structure of most human organs
- Common histopathological changes seen in inflammation
- Common histopathological changes seen in cell damage
",Medicine,2015-2016,1,1/11/16,5/27/16,Complete
14,Women’s Health Core Clerkship,"The Core Clerkship in Women’s Health provides a productive and exciting learning
experience through patient care, interaction with women’s health providers, simulation,
and other formal learning activities.
The Women’s Health Clerkship is 8 weeks in length – 2 weeks inpatient obstetrics, 2 weeks
inpatient gynecology and two 2-week Selectives as selected by the students. These 4 blocks
can be in any order. We also have a 5-day PRECEDE curriculum (3 days during week 1 and
2 days during week 5). Students will be assigned primarily to rotations at 4 hospitals - The
Johns Hopkins Hospital, Johns Hopkins Bayview Medical Center, Sinai Hospital, and/or
GBMC. The students are also assigned to 4-6 weekly Longitudinal Clinics with 1-2
preceptors. ","As every physician will encounter female patients in his/her career, the purpose of this core
clerkship includes:
• To introduce students to the depth and breadth of women’s health issues
• To experience how OB/GYN merges surgery, medicine, and primary preventive care
into a single practice
• To learn how overall mental and physical health interacts with reproductive function
• To gain comfort in taking an appropriate OB/GYN history and performing the breast
and pelvic exam
• To introduce the principles of surgery related to women’s health
Experience how the field merges surgery, medicine, and primary preventive care into a single practice",Medicine,2015-2016,2,1/11/16,5/27/16,Complete
15,Medicine Core Clerkship,"Welcome to the Medicine Core Clerkship!  We view this as one of the most important experiences you will have in medical school.  Regardless of the field in medicine you eventually pursue, your experience on this clerkship will provide you with the opportunity to acquire and enhance basic skills that will form the foundation for your medical career.  YOU WILL NOT, NOR IS IT EXPECTED that you will, master the depth and breadth of internal medicine during this clerkship.  However, the clerkship experience can help you develop a framework to continue to develop your medical skills for decades to come.  During this clerkship you will have the opportunity to:
1. Provide medical care to patients as a member of a team of health care providers.  Working with the housestaff and attending physicians you will have the opportunity to be the primary physician for patients;
2. Expand and integrate your fund of knowledge in medicine;
3. Improve your history-taking and physical examination skills;
4. Improve your oral case presentation skills;
5. Improve your ability to integrate complex clinical information in the service of your patients;
6. Observe at close range many attending physicians, resident physicians, and other health care providers in their work.
","The overall goal of the Medicine Core Clerkship is growing independence.  An effective, confident physician successfully combines personal qualities of compassion and commitment with an ever evolving knowledge base to complement sharpened academic and clinical skills.
The learning goal of the clerkship as it relates to skills, knowledge, and attitudes are as follows: 
By the end of the clerkship the student should:
1.  Demonstrate professional behaviors including reliability and commitment, response to instruction, self-directed learning, patient interactions, appropriate response to stress, and respectful working relationships.
2.  To improve fund of knowledge in internal medicine and begin to develop the critical mass of information needed to care for medical patients for inpatient training problems as defined by Clerkship Directors in Internal Medicine (CDIM) curriculum guide (see below).
3.  Be able to demonstrate communication behaviors to accomplish the three functions of the medical interview:  data gathering, therapeutic relationship building, and patient education and counseling.
4.  Perform a complete and accurate history and physical examination.
5.  Obtain and interpret basic laboratory test results.
",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
16,Pediatrics Core Clerkship,"Demonstrate the ability to generate an age-appropriate differential diagnosis and problem list based on the interview and physical examination. 
Explain how the physical manifestations of disease and the evaluation and management may vary with the age of the patient.  Describe how risk of illness and injury change during growth and development and give examples of age and development-related illnesses and injuries.
Describe the major components of a pediatric health supervision visit including health promotion and disease and injury prevention, the use of screening tools, and immunizations for newborns, infants, toddlers, school aged children, and adolescents.
Describe normal growth in healthy children as well as common variants (e.g. familial short stature and constitutional delay).  
","1. To gain a basic knowledge of somatic growth, neurodevelopment, sexual development and be able to apply this knowledge to issues of acute illness, health maintenance, disease prevention and available public health interventions in children.    
2. To acquire the skills (data gathering, physical exam, lab interpretation) and knowledge necessary for the diagnosis and initial management of common acute and chronic illnesses.  
3. To demonstrate an understanding of the health care system for children in the US, including health disparities and primary care vs. specialty care.    
4. To develop an understanding of the influence of family, community and society on the child in health and disease.
5. To learn some of the local, regional and federal resources available for children in order to advocate on the patient’s behalf.
",Medicine,2015-2016,3,1/11/16,6/10/16,In Progress
17,Psychiatry Core Clerkship,"General: Be able to obtain a complete history; perform and present a comprehensive mental-status examination; write-up the above; synthesize that information to provide an
Initial formulation of the patient including a differential diagnosis for presenting complaint; learn safe techniques for the management of behaviorally deranged or violent patients.
Pharmacology: Working knowledge of the major classes of psychiatric medications including antidepressants, mood stabilizers, neuroleptics, sedatives-hypnotics, anticholigernics, antihistaminergics, psychostimulants; indications and major contradictions; understanding of important drug-drug interactions; side effects and toxicities.
Mood Disorder: Epidemiology; theories of etiology and pathophysiology; known pathology; clinical presentation and phenomenology; differential diagnosis; course and prognosis; treatment options including the various classes of antidepressants, mood stabilizers and ECT, their indications, side effects and toxicities.
","1. To be able to describe and use the various methods/logics (e.g. disease, dimensional, behavioral, and life story reasoning) employed by psychiatrists in the formulation of disorders that afflict mental life. 
2.   Understand and describe basic theories of causation for mental disorders, including correlations with altered anatomy and physiology when known, as well as describe theories of how therapeutic interventions may interrupt/redirect the presumed pathogenetic or psychological processes underlying mental disorders. 
3.  Develop skills at eliciting history and mental status examination findings and be able to distinguish various mental phenomena.
4.  To be able to describe for each major category of acute and chronic psychopathology specifics of clinical presentation, epidemiology, history/physical/mental status examination findings, test interpretation, diagnostic and therapeutic decision making, communication with patients, and aspects of prevention and rehabilitation.
",Medicine,2015-2016,2,1/11/16,6/10/16,In Progress
18,Surgery Core Clerkship,"1) Demonstrate knowledge and understanding of common surgical problems.
2) Understand the indications for, and the limitations of, essential diagnostic studies used to evaluate patients with surgical problems.
3) Demonstrate an understanding of surgical treatments, and alternatives to surgical treatment.
4) To become familiar with various surgical procedures and know their expected outcomes and complications.
 5) Develop cost/risk/benefit appreciation as it applies to patient care
6) Be familiar with action, dosage and use of common pharmacologic agents used in surgery (analgesics, antibiotics, anticoagulants, sedatives)
","Evaluate and assess patients with surgical diseases.
2) Understand and possibly perform various basic procedures, such as:
    a) venipuncture
    b) placement of intravenous catheter
    c) insertion of urethral (Foley) catheter
    d) insertion of nasogastric tube
    e) removal of surgical drains
    f) closure of surgical incisions 
   g) removal of suture/staples
   h) dressing changes
3) Understand how to and possible apply specific protocol in the operating room (scrubbing, gowning, gloving, prepping and draping)
 4) Interpret common laboratory tests (CBC, electrolytes, blood gases, urinalysis, coags)
 5) Interpret common radiologic tests (CXR, KUB, UGI, BE, bone, nuclear tests, US, CT)
 6) Understand how to obtain and interpret EKG
complications.
 5) Develop cost/risk/benefit appreciation as it applies to patient care
6) Be familiar with action, dosage and use of common pharmacologic agents used in surgery (analgesics, antibiotics, anticoagulants, sedatives)
 
",Medicine,2015-2016,3,1/11/16,6/10/16,In Progress
19,Emergency Medicine Core Clerkship,"During the Basic Clerkship in Emergency Medicine, you will hone your skills in the rapid assessment of undifferentiated patients, become comfortable with stabilizing severely ill and injured patients, and develop your procedural abilities.  In the clinical area, you will care for patients with a wide variety of diagnoses, working closely with faculty and residents.  Your educational experience will be enhanced through participation in weekly simulation exercises, resident teaching conferences, and departmental Grand Rounds.  You will learn to make crucial real-time medical decisions, and will leave the clerkship with a skill set that will serve you well in managing common emergencies, regardless of what field of medicine you ultimately pursue.
As your course leaders, we are committed to giving you the best possible experience during your EM rotation.  If you have questions, concerns, or problems during the course of your rotation, do not hesitate to contact us.  For those of you considering a career in Emergency Medicine do not hesitate to approach Dr. Jung, Dr. Bord, or any other EM faculty member for advice.  We want you to get the most out of your time in the ED, and we are happy to hear from you at any time.
Sincerely,","By the end of the clerkship, the student should be able to
Perform a relevant, focused history and physical examination related to the acute complaint of an undifferentiated patient
Synthesize information from the history and physical in order to generate an appropriate “differential of consequence” that addresses emergent and urgent conditions for each patient encountered
Develop an appropriate plan for diagnosis, management, and disposition for each patient encountered
Perform basic patient care, resuscitation, and monitoring procedures
Interpret common diagnostic tests
Demonstrate effective leadership and teamwork in a critical care setting",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
20,Integrative Medicine,"In this course, we will build on your communication skills that you have gained through CFM
We indirectly address the large and complex topic areas of: 
patient-centered care 
shared-decision making
cultural humility 
Through the lens of Complementary and Alternative Medicine
Seeking to raise the controversies and grapple with whether CAM and conventional medicine can be integrated.
","óBy the end of the Integrative Medicine course first year medical students will:
¡Identify differences between Allopathic and Complementary and Alternative Medicine (CAM) in paradigms of health and illness
¡Describe the prevalence and purposes of CAM use among patients
¡Examine the scientific literature pertaining to CAM use
¡Identify the challenges of integrating CAM use
¡Experience three CAM modalities
¡Recognize as important the need to tolerate other world views of health and wellness",Medicine,2015-2016,2,1/11/16,5/27/16,Complete
21,"Cardiovascular, Respiratory, and Renal","This course will build upon seminal observations on the structure and function of the cardiovascular system. Our goal is for you to be able to understand the pathophysiological basis for both cardiovascular disorders and their treatment. The course starts with normal structure and function and builds to disease states within each section. The course is divided into 4 major sections: 1. Cardiac Function building to heart failure, 2. Valve function building to stenosis and regurgitation, 3. The excitable cell building to arrhythmias, and 4. Normal arterial and venous function building to atherosclerotic disease and its complications. We will use a mixture of lecture, small group case discussion, virtual microscopy, gross pathology, patient examination and Clinical Correlation. This course will include physiology, pathophysiology, pharmacology and pathology. Finally, we will describe how clues from the physical examination of the cardiovascular system can help you predict pathophysiology and hence direct therapy.","1. Define the normal structure and function of the cardiovascular system as a basis for understanding health, disease, and treatment... now and in the future...
A. GENETICS & MOLECULAR BIOLOGY: Identify the major genes, gene products, and molecular biomechanisms underpinning normal structure and function of the Cardiovascular system, discussing their role in current and future understanding of health, disease, and treatment. Attention should be focused on genetic causes of cardiomyopathy and genetic causes of arrhythmias as two examples.
B. ANATOMY, HISTOLOGY, & CELL BIOLOGY: Label the gross anatomic components of the heart and vascular system. Name the cellular and sub_cellular components of the heart, arteries and veins, describing their structure and function.
C. PHYSIOLOGY: Discuss the functional and integrative relationships both (i) between sub_cellular components of the heart and vasculature.
2. Identify major disorders affecting the cardiovascular system and their impact, emphasizing scientific foundations of diagnosis and treatment...
A. NOSOLOGY: Categorize heart and vascular diseases and syndromes by (i) etiology, (ii) pathology, (iii) pathophysiology.",Medicine,2015-2016,1,1/11/16,5/27/16,Complete
22,"GI, Reproductive, Endocrine, and Musculoskeletal","Welcome to the your GTS Repro course. We will be taking off from the foundations established in prior courses, including anatomy, microbiology, and other GTS sections – in particular Endocrinology. There are sections with intentional repetition of material in an effort to reinforce your learning in some of our more complicated topics.
The flow of the course begins with the first week starting with normal physiology, histology and anatomy of the male reproductive system. This includes male reproductive endocrinology, the male sexual response, benign and malignant conditions of the male reproductive tract, and challenges of screening for prostate cancer and health disparities in men.
In the second week we will transition into the female system. We will start with foundations in reproductive endocrinology, the gynecologic history, menstrual disorders and contraception. Information from GTS-Endocrine and CFM will be referenced to help you build on prior knowledge. We will then transition into the main pathology of the female reproductive system: uterus, ovary, cervix and breast.
Intermixed will be discussions on ethics, health care policy, infectious diseases and aging. The male reproductive system will reappear throughout this portion of the course- as conditions such as sexual differentiation, conceptualization of sex and gender and infertility integrate the pathophysiology of both systems.","1. Define the normal structure, function, and differentiation of the male and female reproductive system as a basis for understanding health, disease and treatment.
2. Identify disorders of the male and female reproductive system, emphasizing scientific foundations of diagnosis and treatment.
3. Identify disorders of the male and female reproductive system, emphasizing integration of genetic variability, co-morbid disease, and psychosocial influences.
4. Define the process of normal embryology and gestation (pregnancy) and identify disorders impacting human reproduction.
5. Develop and demonstrate core skills required of all physicians essential to effective medical problem solving, communication, and life-long learning.
6. Integration of the following horizontal strands: communication, health disparities, epidemiology and biostatistics, ethics and professionalism, health policy, life cycle-aging, pain, pharmacology, genomics, pathology, anatomy, therapeutics, bioinformatics, neoplasias and embryology.",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
23,Transition to the Wards,"The aim of this course is to provide knowledge and hands-on training to enable you to function more competently and confidently on the wards from day one. Previously, much of what is taught in this course was picked up in a haphazard fashion through experience. The topics include practical emergency response and procedural skills, ethical, legal, and professionalism issues in medicine, accessing and interpreting the medical literature, interacting with other health care providers, and basic EKG, radiology, and ophthalmology skills.","1. Interact appropriately and effectively with patients in the hospital setting as part of a team
2. Face serious illness with competence, confidence, and compassion
3. Perform specific procedures safely and interpret findings competently
4. Manage information and seek appropriate evidence sources to solve clinical problems
5. Make well-reasoned, evidence-based, patient-centered diagnostic decisions
6. Make well-reasoned, evidence-based, patient-centered therapeutic decisions
7. Summarize, present, and document clinical cases effectively
",Medicine,2015-2016,3,1/11/16,6/10/16,In Progress
24,End of Life/Palliative Care,"palliative care and provides experiential interactions with hospice patients and standardized patients with a life-threatening illness.  There is a srog focus on physician – patient communication with particular focus on spiritual and cultural sensitivity.  What is learned in this session will prepare the student for breaking serious news, knowing the final stages of dying, and realize the importance of bereavement and the need for self care.  This session emphasizes the importance on interdisciplinary care for patients at the end of life. A variety of teaching methods will be used including lecture, assigned reading, team-based learning, small group interactions, and use of standardized patients providing formative small group learning with feedback.  During this session, you will participate in a hospice home or inpatient visit and have time for self-reflection.  
We are hopeful students will take away from this TIME in palliative care a greater sense of the issues that physicians face when working with patients with life threatening illness and are approaching death.  We fully understand that students may have not had significant experiences with patients confronting these issues, or have personal experiences with death in one’s family or social circle.  We seek to impress upon the students that Palliative Care is a discipline upon itself, with special skill sets that can be developed and enriched, all the while being integrated in everyday medicine.
","Our Course Objectives seek to:
1) Differentiate between palliative care and hospice 
2) Recognize that specific skills can be acquired in order to deliver good palliative care  
3) Outline an approach to symptom management considering patient’s goals and disease status
4) Establish a framework for communicating bad news to individuals and their families
5) Give examples of the multidimensional aspects of palliative care 
6) Appreciate the role of the physician in the interdisciplinary team in delivering palliative care
7) Examine one’s personal response to caring for the dying patient 
",Medicine,2015-2016,3,1/11/16,5/27/16,Complete
25,Patient Safety,"TheTIMEPatientSafetyCoursehasthreegoals:
1. To describe how medical errors may occur, how we can learn from them, and how we can prevent their recurrence at the healthcare provider level, team level, and system level.
2. To provide the necessary knowledge and skills to practice safely as individual providers and within the healthcare team
3. To advance system based thinking as a means for improving patient safety and quality of care. This includes helping the learners develop “lenses” to see systems and to understand basic principles of designing safety systems.
On each of the course’s three days, occurring on Jan 2, 3, and 6, 2014, there will be a large group session in the lecture hall and two small group activities at either a teaching lab or the simulation center. The large group sessions will cover key topics in safety science. The small group activities (total of 6) are designed to introduce you to system based thinking and provide you with the necessary knowledge and skills to practice safely as individual providers and within your healthcare team.","1. Describe the magnitude of the patient safety problem in the US.
2. Identify at least four ways by which patients can be harmed while receiving
healthcare.
3. Demonstrate provider actions that safeguard against harm from falls, healthcare associated infections, and medication errors.
4. Explain how safety reporting systems can help in identifying healthcare system hazards.
5. Describe the role of teamwork, communication, and collaboration among various health team members and its role in advancing safety and quality of healthcare.
6. Apply 4 strategies to communicate safety concerns and resolve conflict with patients.",Medicine,2015-2016,2,1/11/16,6/10/16,In Progress
